iter	Passed	Remaining
0	2	202
1	4	197
2	6	196
3	7	175
4	9	176
5	11	178
6	13	177
7	15	175
8	17	177
9	19	176
10	21	174
11	23	174
12	25	171
13	39	240
14	41	232
15	42	223
16	44	216
17	46	210
18	47	204
19	49	198
20	54	205
21	56	201
22	59	197
23	63	202
24	67	203
25	69	197
26	71	192
27	72	187
28	76	186
29	83	194
30	85	190
31	88	187
32	92	188
33	94	183
34	96	179
35	98	175
36	100	171
37	106	174
38	108	169
39	110	165
40	113	163
41	115	159
42	117	155
43	119	151
44	121	148
45	129	151
46	133	150
47	135	146
48	137	143
49	140	140
50	142	137
51	146	134
52	147	131
53	162	138
54	163	133
55	167	131
56	171	129
57	173	125
58	177	123
59	179	119
60	181	116
61	183	112
62	185	108
63	187	105
64	189	101
65	191	98
66	193	95
67	195	91
68	197	88
69	199	85
70	202	82
71	204	79
72	206	76
73	208	73
74	210	70
75	212	67
76	216	64
77	218	61
78	220	58
79	222	55
80	224	52
81	226	49
82	228	46
83	229	43
84	231	40
85	232	37
86	236	35
87	238	32
88	240	29
89	242	26
90	244	24
91	245	21
92	248	18
93	256	16
94	258	13
95	260	10
96	261	8
97	263	5
98	265	2
99	268	0
